kkr,icd10_3d,cnt
12-BB,C05,101
12-BB,C06,75
12-BB,C07,95
12-BB,C08,25
12-BB,C09,295
12-BB,C10,181
12-BB,C11,14
12-BB,C12,35
12-BB,C13,92
12-BB,C14,4
12-BB,C15,386
12-BB,C16,1304
12-BB,C17,280
12-BB,C18,4906
12-BB,C19,48
12-BB,C20,2150
12-BB,C21,151
12-BB,C22,400
12-BB,C23,155
12-BB,C24,381
12-BB,C25,1184
12-BB,C26,1
12-BB,C30,82
12-BB,C31,28
12-BB,C32,406
12-BB,C33,4
12-BB,C34,2713
12-BB,C37,54
12-BB,C38,12
12-BB,C40,26
12-BB,C41,37
12-BB,C43,2805
12-BB,C45,49
12-BB,C46,3
12-BB,C47,2
12-BB,C48,112
12-BB,C49,283
12-BB,C50,9483
12-BB,C51,370
12-BB,C52,40
12-BB,C53,579
12-BB,C54,1340
12-BB,C55,17
12-BB,C56,717
12-BB,C57,78
12-BB,C58,2
12-BB,C60,186
12-BB,C61,6064
12-BB,C62,527
12-BB,C63,10
12-BB,C64,2287
12-BB,C65,157
12-BB,C66,113
12-BB,C67,2752
12-BB,C68,31
12-BB,C69,130
12-BB,C70,16
12-BB,C71,777
12-BB,C72,26
12-BB,C73,736
12-BB,C74,34
12-BB,C75,13
12-BB,C76,25
12-BB,C80,321
12-BB,C81,53
12-BB,C82,126
12-BB,C83,273
12-BB,C84,24
12-BB,C85,14
12-BB,C86,12
12-BB,C88,32
12-BB,C90,82
12-BB,C91,23
12-BB,C92,26
12-BB,C93,2
12-BB,C94,1
12-BB,C96,4
12-BB,D00,50
12-BB,D01,1492
12-BB,D02,44
12-BB,D03,924
12-BB,D05,1094
12-BB,D06,5007
12-BB,D07,415
12-BB,D09,2565
12-BB,D32,602
12-BB,D33,210
12-BB,D35,167
12-BB,D39,225
12-BB,D41,58
12-BB,D42,46
12-BB,D43,74
12-BB,D44,16
12-BB,D46,6
12-BB,D47,3
13-MV,C00,88
13-MV,C01,74
13-MV,C02,226
13-MV,C03,118
13-MV,C04,233
13-MV,C05,104
13-MV,C06,68
13-MV,C07,82
13-MV,C08,26
13-MV,C09,242
13-MV,C10,90
13-MV,C11,6
13-MV,C12,40
13-MV,C13,83
13-MV,C14,3
13-MV,C15,319
13-MV,C16,1035
13-MV,C17,234
13-MV,C18,3495
13-MV,C19,32
13-MV,C20,1469
13-MV,C21,88
13-MV,C22,416
13-MV,C23,118
13-MV,C24,200
13-MV,C25,818
13-MV,C30,62
13-MV,C31,27
13-MV,C32,351
13-MV,C33,3
13-MV,C34,1643
13-MV,C37,37
13-MV,C38,4
13-MV,C40,16
13-MV,C41,20
13-MV,C43,2254
13-MV,C45,20
13-MV,C46,3
13-MV,C47,7
13-MV,C48,45
13-MV,C49,206
13-MV,C50,6646
13-MV,C51,254
13-MV,C52,14
13-MV,C53,307
13-MV,C54,1005
13-MV,C55,23
13-MV,C56,446
13-MV,C57,56
13-MV,C58,2
13-MV,C60,111
13-MV,C61,4073
13-MV,C62,311
13-MV,C63,11
13-MV,C64,1693
13-MV,C65,162
13-MV,C66,89
13-MV,C67,1955
13-MV,C68,26
13-MV,C69,89
13-MV,C70,7
13-MV,C71,645
13-MV,C72,24
13-MV,C73,496
13-MV,C74,21
13-MV,C75,17
13-MV,C76,10
13-MV,C80,250
13-MV,C81,37
13-MV,C82,80
13-MV,C83,206
13-MV,C84,28
13-MV,C85,24
13-MV,C86,3
13-MV,C88,30
13-MV,C90,48
13-MV,C91,23
13-MV,C92,5
13-MV,C96,3
13-MV,D00,56
13-MV,D01,1493
13-MV,D02,51
13-MV,D03,799
13-MV,D05,684
13-MV,D06,3790
13-MV,D07,307
13-MV,D09,1992
13-MV,D32,487
13-MV,D33,156
13-MV,D35,161
13-MV,D39,184
13-MV,D41,29
13-MV,D42,39
13-MV,D43,52
13-MV,D44,8
13-MV,D46,2
13-MV,D47,2
13-MV,D48,1
14-SN,C00,217
14-SN,C01,155
14-SN,C02,522
14-SN,C03,301
14-SN,C04,367
14-SN,C05,185
14-SN,C06,173
14-SN,C07,175
14-SN,C08,54
14-SN,C09,418
14-SN,C10,201
14-SN,C11,21
14-SN,C12,42
14-SN,C13,129
14-SN,C14,5
14-SN,C15,638
14-SN,C16,2297
14-SN,C17,589
14-SN,C18,9261
14-SN,C19,43
14-SN,C20,4282
14-SN,C21,217
14-SN,C22,924
14-SN,C23,323
14-SN,C24,617
14-SN,C25,1795
14-SN,C26,8
14-SN,C30,126
14-SN,C31,72
14-SN,C32,548
14-SN,C33,5
14-SN,C34,3425
14-SN,C37,103
14-SN,C38,16
14-SN,C40,47
14-SN,C41,63
14-SN,C43,6827
14-SN,C45,66
14-SN,C46,10
14-SN,C47,19
14-SN,C48,188
14-SN,C49,621
14-SN,C50,15798
14-SN,C51,643
14-SN,C52,43
14-SN,C53,777
14-SN,C54,2706
14-SN,C55,17
14-SN,C56,1067
14-SN,C57,221
14-SN,C58,3
14-SN,C60,317
14-SN,C61,9584
14-SN,C62,1120
14-SN,C63,30
14-SN,C64,4123
14-SN,C65,331
14-SN,C66,204
14-SN,C67,4449
14-SN,C68,82
14-SN,C69,118
14-SN,C70,20
14-SN,C71,1417
14-SN,C72,33
